Company,Customer ID,Application ID,Loan ID,Tpv,Product Type,Disbursement Date,Disbursement Amount,Origination Fee,Taxes,Loan Currency,Interest Rate Apr,Term,Term Unit,Payment Frequency,Pledged To,Pledged Date,Loan Status,Outstanding Loan Value,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value
ABF,CLI0211,DSB1375-001,DSB1375-001,900.39,factoring,2024-01-10,755.33,8.85,1.15,USD,80.36,64,days,bullet,,,Complete,0,,,,,,
ABF,CLI2038,DSB0770-005,DSB0770-005,"2,615.76",factoring,2023-08-02,"2,211.17",10.82,1.41,USD,69.67,47,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB3035-003,DSB3035-003,864.45,factoring,2025-06-13,854.69,8.64,1.12,USD,51.51,60,days,bullet,,,Complete,0,,,,,,
ABF,CLI2512,DSB1316-001,DSB1316-001,677.44,factoring,2023-12-22,565.82,8.85,1.15,USD,87.48,36,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2804-022,DSB2804-022,279.8,factoring,2025-03-07,236.8,0.91,0.12,USD,62.25,49,days,bullet,,,Complete,0,,,,,,
ABF,CLI0134,DSB1829-001,DSB1829-001,"3,254.57",factoring,2024-05-15,"2,751.39",13.27,1.73,USD,99.06,19,days,bullet,,,Complete,0,,,,,,
ABF,CLI0836,DSB1172-005,DSB1172-005,"3,192",factoring,2023-11-16,"2,889.75",13.24,1.72,USD,57.65,27,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1418-012,DSB1418-012,21.11,factoring,2024-01-24,17.88,0.05,0.01,USD,61.46,51,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB1420-004,DSB1420-004,570.58,factoring,2024-01-24,482.27,2.41,0.31,USD,55.11,44,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB1149-008,DSB1149-008,328.05,factoring,2023-11-10,277.77,0.95,0.12,USD,59.72,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1150-023,DSB1150-023,"1,728.39",factoring,2023-11-10,"1,463.75",4.76,0.62,USD,73.71,31,days,bullet,,,Complete,0,,,,,,
ABF,CLI2683,DSB1042-001,DSB1042-001,"1,637.7",factoring,2023-10-17,"1,385.52",5.77,0.75,USD,69.11,52,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0409-008,DSB0409-008,"1,440.77",factoring,2023-04-28,"1,218.95",5.05,0.66,USD,54.37,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0409-040,DSB0409-040,335.16,factoring,2023-04-28,283.56,1.18,0.15,USD,54.39,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2394,DSB1892-001,DSB1892-001,996.8,factoring,2024-05-31,839.78,6.64,0.86,USD,124.02,11,days,bullet,,,Complete,0,,,,,,
ABF,CLI2784,DSB2113-015,DSB2113-015,60.61,factoring,2024-07-31,51.26,0.23,0.03,USD,73.62,58,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2123-016,DSB2123-016,119.09,factoring,2024-08-02,100.9,0.29,0.04,USD,59.94,38,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2114-001,DSB2114-001,674.79,factoring,2024-08-01,571.44,1.88,0.24,USD,60.35,39,days,bullet,,,Complete,0,,,,,,
ABF,CLI0581,DSB0560-004,DSB0560-004,410.46,factoring,2023-06-09,347.63,1.12,0.14,USD,59.46,27,days,bullet,,,Complete,0,,,,,,
ABF,CLI2683,DSB1748-003,DSB1748-003,"6,708.8",factoring,2024-04-23,"5,674.77",24.52,3.19,USD,36.33,139,days,bullet,,,Default,130.82,,,,,,
ABF,CLI1467,DSB0397-002,DSB0397-002,"1,392.3",factoring,2023-04-25,"1,177.5",5.27,0.69,USD,75.15,31,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB2187-004,DSB2187-004,"2,145.92",factoring,2024-08-26,"1,816.71",6.48,0.84,USD,96.78,17,days,bullet,,,Complete,0,,,,,,
ABF,CLI1970,DSB1369-011,DSB1369-011,"2,721.6",factoring,2024-01-09,"2,467.62",8,1.04,USD,55.83,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI0058,DSB2934-006,DSB2934-006,"1,700",factoring,2025-04-29,"1,541.12",5.2,0.68,USD,50.35,45,days,bullet,,,Default,"1,541.12",,,,,,
ABF,CLI0836,DSB2144-031,DSB2144-031,188.33,factoring,2024-08-14,170.88,0.45,0.06,USD,55.93,37,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB2287-001,DSB2287-001,"1,552.05",factoring,2024-09-24,"1,407.38",4.41,0.57,USD,30.71,92,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB2981-003,DSB2981-003,"1,525.5",factoring,2025-05-21,"1,292.04",4.1,0.53,USD,54.72,61,days,bullet,,,Complete,0,,,,,,
ABF,CLI2360,DSB1756-001,DSB1756-001,"4,870.3",factoring,2024-04-25,"4,123.19",14.66,1.91,USD,59.54,43,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1458-004,DSB1458-004,300.06,factoring,2024-02-02,254.08,0.86,0.11,USD,53.72,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB1457-015,DSB1457-015,609.18,factoring,2024-02-02,515.57,1.98,0.26,USD,62.24,48,days,bullet,,,Complete,0,,,,,,
ABF,CLI2038,DSB0239-001,DSB0239-001,543.2,factoring,2023-03-10,459.99,1.53,0.2,USD,59.34,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI0818,DSB1478-002,DSB1478-002,"2,579.91",factoring,2024-02-09,"2,340.2",6.65,0.87,USD,89.31,17,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB0346-005,DSB0346-005,228.48,factoring,2023-04-12,192.84,1.21,0.16,USD,70.75,47,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB0346-007,DSB0346-007,74.58,factoring,2023-04-12,62.95,0.4,0.05,USD,64.43,29,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB2822-002,DSB2822-002,705.1,factoring,2025-03-14,596,2.95,0.38,USD,63.09,49,days,bullet,,,Complete,0,,,,,,
ABF,CLI1970,DSB1911-011,DSB1911-011,655.4,factoring,2024-06-07,594.18,1.98,0.26,USD,73.16,21,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1909-045,DSB1909-045,766.14,factoring,2024-06-07,649.07,1.9,0.25,USD,52.75,54,days,bullet,,,Complete,0,,,,,,
ABF,CLI0134,DSB1579-001,DSB1579-001,"5,216.93",factoring,2024-03-11,"4,404.39",26.55,3.45,USD,62.24,72,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB1550-001,DSB1550-001,"1,092",factoring,2024-02-29,924.76,3.05,0.4,USD,66.73,40,days,bullet,,,Complete,0,,,,,,
ABF,CLI2589,DSB1553-005,DSB1553-005,483.47,factoring,2024-02-29,407.89,2.71,0.35,USD,105.44,22,days,bullet,,,Complete,0,,,,,,
ABF,CLI1354,DSB0495-001,DSB0495-001,569.52,factoring,2023-05-25,481.04,2.7,0.35,USD,77.78,29,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB0498-003,DSB0498-003,225.01,factoring,2023-05-25,189.97,1.14,0.15,USD,55.97,41,days,bullet,,,Complete,0,,,,,,
ABF,CLI2394,DSB1466-001,DSB1466-001,672,factoring,2024-02-06,563.38,6.92,0.9,USD,109.47,14,days,bullet,,,Complete,0,,,,,,
ABF,CLI0716,DSB2522-004,DSB2522-004,284.76,factoring,2024-11-29,240.52,1.35,0.18,USD,69.56,35,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0200-016,DSB0200-016,151.96,factoring,2023-02-27,128.52,0.57,0.07,USD,61.48,39,days,bullet,,,Complete,0,,,,,,
ABF,CLI1970,DSB0203-010,DSB0203-010,714.34,factoring,2023-02-27,647.26,2.47,0.32,USD,50.72,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB0914-001,DSB0914-001,"1,290.58",factoring,2023-09-11,"1,159.43",13.27,1.73,USD,57.24,43,days,bullet,,,Complete,0,,,,,,
ABF,CLI0058,DSB2919-001,DSB2919-001,784,factoring,2025-04-23,710.64,2.48,0.32,USD,61.13,46,days,bullet,,,Complete,0,,,,,,
ABF,CLI0058,DSB2032-002,DSB2032-002,670,factoring,2024-07-09,607.06,2.33,0.3,USD,51.58,73,days,bullet,,,Default,7.83,,,,,,
ABF,CLI2784,DSB1500-022,DSB1500-022,312.28,factoring,2024-02-15,264.5,0.83,0.11,USD,72.09,78,days,bullet,,,Default,6.09,,,,,,
ABF,CLI1070,DSB1598-006,DSB1598-006,"2,092.41",factoring,2024-03-14,"1,770.54",7.09,0.92,USD,74.6,33,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB0254-001,DSB0254-001,700,factoring,2023-03-14,632.97,3.56,0.46,USD,62.77,50,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB1043-010,DSB1043-010,718.37,factoring,2023-10-18,608.15,2.18,0.28,USD,53.89,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2589,DSB1045-001,DSB1045-001,"1,194.12",factoring,2023-10-18,"1,000.01",13.27,1.73,USD,57.72,100,days,bullet,,,Default,23.29,,,,,,
ABF,CLI0558,DSB0270-003,DSB0270-003,"1,685.6",factoring,2023-03-17,"1,427.45",4.69,0.61,USD,68.43,48,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0595-012,DSB0595-012,24.74,factoring,2023-06-19,20.93,0.09,0.01,USD,75.15,32,days,bullet,,,Complete,0,,,,,,
ABF,CLI0818,DSB1051-001,DSB1051-001,"5,968.11",factoring,2023-10-20,"5,409.67",18.86,2.45,USD,64.8,24,days,bullet,,,Complete,0,,,,,,
ABF,CLI0818,DSB1051-003,DSB1051-003,"1,190.49",factoring,2023-10-20,"1,079.1",3.76,0.49,USD,41.11,76,days,bullet,,,Default,13.93,,,,,,
ABF,CLI2537,DSB0836-003,DSB0836-003,"2,184",factoring,2023-08-21,"1,980.48",6.16,0.8,USD,50.13,43,days,bullet,,,Complete,0,,,,,,
ABF,CLI2683,DSB0734-001,DSB0734-001,"13,428.8",factoring,2023-07-26,"11,366.48",42.48,5.52,USD,58.95,58,days,bullet,,,Complete,0,,,,,,
ABF,CLI2452,DSB0135-001,DSB0135-001,593.25,factoring,2023-02-09,499.09,4.58,0.6,USD,64.03,64,days,bullet,,,Complete,0,,,,,,
ABF,CLI2038,DSB0705-001,DSB0705-001,398.72,factoring,2023-07-19,335.2,3.29,0.43,USD,68.88,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI2038,DSB0705-003,DSB0705-003,655.2,factoring,2023-07-19,550.82,5.4,0.7,USD,68.86,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI2784,DSB1606-003,DSB1606-003,129.95,factoring,2024-03-15,109.32,1,0.13,USD,144.07,17,days,bullet,,,Complete,0,,,,,,
ABF,CLI2537,DSB2589-003,DSB2589-003,705.6,factoring,2024-12-20,639.6,2.21,0.29,USD,61.11,46,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2591-051,DSB2591-051,96.05,factoring,2024-12-20,81.38,0.23,0.03,USD,61.5,49,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB0215-005,DSB0215-005,486.03,factoring,2023-03-02,439.68,2.31,0.3,USD,53.56,55,days,bullet,,,Complete,0,,,,,,
ABF,CLI2589,DSB2872-001,DSB2872-001,"1,698.15",factoring,2025-04-01,"1,443.43",0,0,USD,73.53,66,days,bullet,,,Complete,0,,,,,,
ABF,CLI0240,DSB1514-001,DSB1514-001,"2,252.5",factoring,2024-02-19,"2,015.88",10.06,1.31,USD,99.37,18,days,bullet,,,Complete,0,,,,,,
ABF,CLI2566,DSB2367-001,DSB2367-001,"3,441.27",factoring,2024-10-16,"2,910.08",13.27,1.73,USD,76.42,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB2238-002,DSB2238-002,123.2,factoring,2024-09-13,103.76,0.85,0.11,USD,72.42,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI2452,DSB1958-001,DSB1958-001,"1,243",factoring,2024-06-21,"1,047.26",8.22,1.07,USD,71.92,27,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB0289-008,DSB0289-008,250,factoring,2023-03-25,211.12,1.22,0.16,USD,62.93,27,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2288-060,DSB2288-060,"1,033.39",factoring,2024-09-25,874.77,3.2,0.42,USD,60.7,37,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2394-063,DSB2394-063,529.66,factoring,2024-10-25,448.63,1.4,0.18,USD,53.5,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2512,DSB1348-001,DSB1348-001,683.65,factoring,2024-01-02,573.3,6.91,0.9,USD,71.71,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI1970,DSB0194-006,DSB0194-006,796.65,factoring,2023-02-24,722.42,2.24,0.29,USD,55.64,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI2514,DSB0019-003,DSB0019-003,"6,720",factoring,2023-01-05,"5,690.49",19.03,2.47,USD,50.6,105,days,bullet,,,Default,55.09,,,,,,
ABF,CLI2174,DSB0015-004,DSB0015-004,258.45,factoring,2023-01-05,218.62,0.94,0.12,USD,68.15,36,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0015-031,DSB0015-031,226.66,factoring,2023-01-05,191.73,0.83,0.11,USD,68.17,36,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB0830-002,DSB0830-002,787.36,factoring,2023-08-18,713.98,2.23,0.29,USD,50.14,41,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB1076-002,DSB1076-002,"3,184.95",factoring,2023-10-26,"2,881.96",14.47,1.88,USD,51.76,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI0670,DSB1193-001,DSB1193-001,"1,678.69",factoring,2023-11-23,"1,411.89",13.27,1.73,USD,64.15,67,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1023-009,DSB1023-009,46.35,factoring,2023-10-13,39.26,0.12,0.02,USD,52.88,53,days,bullet,,,Complete,0,,,,,,
ABF,CLI0240,DSB1094-001,DSB1094-001,"3,620",factoring,2023-10-31,"3,243",13.27,1.73,USD,73.11,24,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB0137-004,DSB0137-004,59.33,factoring,2023-02-10,49.67,0.67,0.09,USD,82.46,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI0558,DSB0373-005,DSB0373-005,"1,176",factoring,2023-04-20,995.42,3.7,0.48,USD,58.19,77,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB0777-028,DSB0777-028,387.15,factoring,2023-08-07,327.39,1.49,0.19,USD,61.58,38,days,bullet,,,Complete,0,,,,,,
ABF,CLI2606,DSB0782-004,DSB0782-004,10.3,factoring,2023-08-07,8.7,0.04,0.01,USD,96.55,24,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB2958-003,DSB2958-003,"1,657.03",factoring,2025-05-08,"1,403.44",4.45,0.58,USD,52.91,60,days,bullet,,,Complete,0,,,,,,
ABF,CLI2234,DSB2960-006,DSB2960-006,"1,867.91",factoring,2025-05-08,"1,581.73",5.3,0.69,USD,45.64,92,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB3010-006,DSB3010-006,"2,723.7",factoring,2025-05-30,"2,466.3",10.85,1.41,USD,41.52,91,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB0436-008,DSB0436-008,611.62,factoring,2023-05-08,518,1.66,0.22,USD,53.58,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI0211,DSB0437-001,DSB0437-001,667.96,factoring,2023-05-08,557.77,8.85,1.15,USD,84.55,45,days,bullet,,,Complete,0,,,,,,
ABF,CLI1464,DSB2962-002,DSB2962-002,"2,405.2",factoring,2025-05-09,"2,037.1",6.48,0.84,USD,84.88,52,days,bullet,,,Default,"2,044.4199999999998",,,,,,
ABF,CLI2165,DSB0528-004,DSB0528-004,744.8,factoring,2023-05-31,674.49,2.9,0.38,USD,52.86,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2063-024,DSB2063-024,127.5,factoring,2024-07-18,107.95,0.38,0.05,USD,53.14,53,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2049-015,DSB2049-015,49.44,factoring,2024-07-12,41.87,0.13,0.02,USD,73.56,31,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB2412-002,DSB2412-002,"1,275.15",factoring,2024-10-31,"1,155.71",4.13,0.54,USD,30.86,92,days,bullet,,,Complete,0,,,,,,
ABF,CLI2234,DSB1972-002,DSB1972-002,"2,314.03",factoring,2024-06-25,"1,954.11",11.34,1.47,USD,53.48,90,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2622-039,DSB2622-039,133.93,factoring,2025-01-03,113.33,0.46,0.06,USD,54.28,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2622-003,DSB2622-003,234.6,factoring,2025-01-03,198.51,0.8,0.1,USD,54.28,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2537,DSB1490-002,DSB1490-002,392,factoring,2024-02-14,354.92,1.59,0.21,USD,53.05,54,days,bullet,,,Complete,0,,,,,,
ABF,CLI2452,DSB1493-004,DSB1493-004,306,factoring,2024-02-14,256.81,2.91,0.38,USD,70.79,29,days,bullet,,,Complete,0,,,,,,
ABF,CLI0818,DSB1229-001,DSB1229-001,"2,115.94",factoring,2023-12-01,"1,917.04",7.5,0.97,USD,81.92,14,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB2019-006,DSB2019-006,249.9,factoring,2024-07-05,211.58,0.74,0.1,USD,53.8,42,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB1137-004,DSB1137-004,136.44,factoring,2023-11-08,115.42,0.49,0.06,USD,56.14,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB2225-001,DSB2225-001,740.42,factoring,2024-09-09,624.62,4.19,0.54,USD,59.27,29,days,bullet,,,Complete,0,,,,,,
ABF,CLI0058,DSB2226-002,DSB2226-002,"5,500",factoring,2024-09-09,"4,986.39",16.47,2.14,USD,51.61,30,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1642-022,DSB1642-022,76.55,factoring,2024-03-26,64.81,0.23,0.03,USD,53.82,41,days,bullet,,,Complete,0,,,,,,
ABF,CLI2520,DSB2585-001,DSB2585-001,"1,206.28",factoring,2024-12-19,"1,077.45",7.26,0.94,USD,59.35,71,days,bullet,,,Default,15.68,,,,,,
ABF,CLI2683,DSB1141-001,DSB1141-001,"18,972",factoring,2023-11-09,"16,066.2",53.1,6.9,USD,36.09,148,days,bullet,,,Default,369.95,,,,,,
ABF,CLI2174,DSB0054-009,DSB0054-009,50.85,factoring,2023-01-17,43.06,0.14,0.02,USD,60.4,38,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB1090-002,DSB1090-002,108.48,factoring,2023-10-30,91.44,0.68,0.09,USD,86.49,32,days,bullet,,,Complete,0,,,,,,
ABF,CLI0716,DSB1131-001,DSB1131-001,"1,349.6",factoring,2023-11-07,"1,135.18",10.61,1.38,USD,93.87,20,days,bullet,,,Complete,0,,,,,,
ABF,CLI2234,DSB1400-001,DSB1400-001,"1,339.62",factoring,2024-01-18,"1,129.25",8.34,1.08,USD,80.15,22,days,bullet,,,Complete,0,,,,,,
ABF,CLI0581,DSB1800-001,DSB1800-001,"1,950",factoring,2024-05-07,"1,642.5",13.27,1.73,USD,57.75,45,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB2890-005,DSB2890-005,168.23,factoring,2025-04-10,141.41,1.4,0.18,USD,74.74,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB1291-002,DSB1291-002,19.37,factoring,2023-12-15,16.37,0.08,0.01,USD,81,21,days,bullet,,,Complete,0,,,,,,
ABF,CLI2165,DSB0900-002,DSB0900-002,436.8,factoring,2023-09-07,392.09,4.77,0.62,USD,62.71,29,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB2750-001,DSB2750-001,470.4,factoring,2025-02-18,393.71,5.43,0.71,USD,92.39,24,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB0035-002,DSB0035-002,614.39,factoring,2023-01-11,520.09,1.89,0.25,USD,53.22,55,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB0758-016,DSB0758-016,289.99,factoring,2023-07-31,245.44,0.93,0.12,USD,54.07,43,days,bullet,,,Complete,0,,,,,,
ABF,CLI2043,DSB2787-007,DSB2787-007,925.18,factoring,2025-02-28,781.55,4.3,0.56,USD,62.56,28,days,bullet,,,Complete,0,,,,,,
ABF,CLI0118,DSB0454-001,DSB0454-001,983.1,factoring,2023-05-15,824.39,9.95,1.29,USD,53.71,92,days,bullet,,,Default,8.06,,,,,,
ABF,CLI0864,DSB2717-002,DSB2717-002,436.8,factoring,2025-02-10,367.29,3.53,0.46,USD,89.07,32,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB1333-014,DSB1333-014,256.63,factoring,2023-12-28,217.2,0.83,0.11,USD,54.11,43,days,bullet,,,Complete,0,,,,,,
ABF,CLI2394,DSB1335-002,DSB1335-002,336,factoring,2023-12-28,281.82,3.35,0.43,USD,116.74,13,days,bullet,,,Complete,0,,,,,,
ABF,CLI0379,DSB1388-002,DSB1388-002,"4,233.39",factoring,2024-01-15,"3,580.96",15.41,2,USD,70.29,24,days,bullet,,,Complete,0,,,,,,
ABF,CLI1070,DSB1523-015,DSB1523-015,"1,283",factoring,2024-02-22,"1,085.51",4.46,0.58,USD,53.53,54,days,bullet,,,Complete,0,,,,,,
ABF,CLI2174,DSB1522-036,DSB1522-036,168.19,factoring,2024-02-22,142.43,0.47,0.06,USD,61.83,50,days,bullet,,,Complete,0,,,,,,
ABF,CLI0864,DSB0908-001,DSB0908-001,"1,101.75",factoring,2023-09-08,927.07,8.33,1.08,USD,96.09,21,days,bullet,,,Complete,0,,,,,,
ABF,CLI2589,DSB1408-001,DSB1408-001,"3,241.41",factoring,2024-01-20,"2,740.2",13.27,1.73,USD,76.35,61,days,bullet,,,Complete,0,,,,,,
